tcga_code,gene,round2B_logFC,round2B_q,round2B_robust,round2B_interpretation,stage1_shift,stage1_robust,stage1_interpretation,finite_overlap,direction_concordant,robust_call_agreement,round2B_n_pairs,stage1_n_pairs,stage1_mean_shift,stage1_p_value,stage1_q_value_bh70,stage1_passes_statistical_screen,stage1_passes_effect_screen,round2B_analysis_status,stage1_status,xena_patient_cases,round2B_patient_cases,n_common_patient_cases,n_xena_only_cases,n_round2B_only_cases,exact_patient_set_match,patient_set_relation,status
KIRC,CYP3A4,-1.926103995861374,3.098689807283343e-9,TRUE,loss,-0.3168663346588695,FALSE,not_robust,TRUE,TRUE,FALSE,72,72,-0.6867135618652613,6.825220686712593e-8,3.185102987132544e-7,TRUE,FALSE,primary_count_level,estimable_xena,72,72,72,0,0,TRUE,exact_match,overlap_estimable
KIRC,CYP3A5,1.4618337550315277,1.163952578095383e-11,TRUE,gain,1.8264057498773545,TRUE,gain,TRUE,TRUE,TRUE,72,72,1.8321766033563713,7.678968572122358e-11,1.07505560009713e-9,TRUE,TRUE,primary_count_level,estimable_xena,72,72,72,0,0,TRUE,exact_match,overlap_estimable
KIRC,CYP3A7,-0.4792482413452199,0.04503717482316122,FALSE,not_robust,-0.2262900164191486,FALSE,not_robust,TRUE,TRUE,TRUE,72,72,-0.29928459093657606,0.03812384275512393,0.06671672482146687,FALSE,FALSE,primary_count_level,estimable_xena,72,72,72,0,0,TRUE,exact_match,overlap_estimable
KIRC,CYP3A43,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,72,72,0.029041060661689492,0.09406120785734862,0.14313662065248703,FALSE,FALSE,low_expression_not_estimable,estimable_xena,72,72,72,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
KIRP,MAOB,-0.8481437556344779,0.01271471991675457,TRUE,loss,-0.6541112444904851,TRUE,loss,TRUE,TRUE,TRUE,32,32,-1.0211799191397604,9.032043337231513e-4,0.0019158879806248663,TRUE,TRUE,primary_count_level,estimable_xena,32,32,32,0,0,TRUE,exact_match,overlap_estimable
KIRP,CYP3A4,-1.834353719537459,2.5847542651817883e-4,TRUE,loss,-0.5609099259065574,FALSE,not_robust,TRUE,TRUE,FALSE,32,32,-0.7896250875795582,2.778091280057048e-4,6.705737572551495e-4,TRUE,FALSE,primary_count_level,estimable_xena,32,32,32,0,0,TRUE,exact_match,overlap_estimable
KIRP,CYP3A5,1.755226087498147,9.882984488943753e-6,TRUE,gain,2.052757672461804,TRUE,gain,TRUE,TRUE,TRUE,32,32,1.8353468511808306,1.3133951863575355e-4,3.4050986312973144e-4,TRUE,TRUE,primary_count_level,estimable_xena,32,32,32,0,0,TRUE,exact_match,overlap_estimable
KIRP,CYP3A7,-1.7743696974805263,3.241764421126165e-4,TRUE,loss,-1.1068850069354217,TRUE,loss,TRUE,TRUE,TRUE,32,32,-1.0206830113786796,2.0437587313645262e-4,5.109396828411316e-4,TRUE,TRUE,primary_count_level,estimable_xena,32,32,32,0,0,TRUE,exact_match,overlap_estimable
KIRP,CYP3A43,,,FALSE,not_estimable_primary,-0.013887412981351155,FALSE,not_robust,FALSE,,,32,32,-0.02903472826432208,0.15979701440294491,0.22828144914706416,FALSE,FALSE,low_expression_not_estimable,estimable_xena,32,32,32,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
LIHC,MAOB,-0.914125081691664,6.406453379619561e-9,TRUE,loss,-0.09213998268375345,FALSE,not_robust,TRUE,TRUE,FALSE,50,50,-0.2374523183090319,0.06286514200950191,0.10233860327128218,FALSE,FALSE,primary_count_level,estimable_xena,50,50,50,0,0,TRUE,exact_match,overlap_estimable
