target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,endpoint,pseudo_target_statistic,empirical_p_plus1_leave_one_out,randomized_tie_rank_p,p_value_direction,n_reference_profiles_including_pseudo_target,calibration_note
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000116329,OPRD1,recurrent_loss,0,1,0.6622681340470324,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000117090,SLAMF1,recurrent_loss,0.25,0.6520618556701031,0.5114901599944713,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000117560,FASLG,recurrent_loss,0,1,0.695387838309938,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000117650,NEK2,recurrent_loss,0,1,0.8246304893904587,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000118557,PMFBP1,recurrent_loss,0,1,0.8856914049187272,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000119547,ONECUT2,recurrent_loss,0.25,0.6520618556701031,0.5672751944236093,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000120051,CFAP58,recurrent_loss,0.25,0.6520618556701031,0.6374511461136094,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000120215,MLANA,recurrent_loss,0.25,0.6520618556701031,0.5494474362241123,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000121380,BCL2L14,recurrent_loss,0.25,0.6520618556701031,0.5476109684761805,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000121621,KIF18A,recurrent_loss,0,1,0.9426740640354314,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000121895,TMEM156,recurrent_loss,0,1,0.8048585278495723,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000122188,LAX1,recurrent_loss,0.25,0.6520618556701031,0.5528720870023575,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000122223,CD244,recurrent_loss,0.25,0.6520618556701031,0.5741605578763315,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000122432,SPATA1,recurrent_loss,0.25,0.6520618556701031,0.4761602146990271,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000122735,DNAI1,recurrent_loss,0.5,0.42010309278350516,0.3835576876551489,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000123219,CENPK,recurrent_loss,0,1,0.7733685269846207,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000123405,NFE2,recurrent_loss,0.25,0.6520618556701031,0.4714153452041876,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000123485,HJURP,recurrent_loss,0,1,0.9838331790752565,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000123500,COL10A1,recurrent_loss,0.25,0.6520618556701031,0.42453371603329926,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000124256,ZBP1,recurrent_loss,0,1,0.8057616226400306,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000124731,TREM1,recurrent_loss,0.25,0.6520618556701031,0.5567769164905989,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000125046,SSUH2,recurrent_loss,0.75,0.20103092783505155,0.12983800688717687,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000125531,FNDC11,recurrent_loss,0.75,0.20103092783505155,0.17496389242851645,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000125726,CD70,recurrent_loss,0,1,0.953643275066591,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000126733,DACH2,recurrent_loss,1,0.059278350515463915,0.05517646098766265,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000126787,DLGAP5,recurrent_loss,0,1,0.6748119491553318,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000126838,PZP,recurrent_loss,0.75,0.20103092783505155,0.15146308700246833,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000127325,BEST3,recurrent_loss,0.25,0.6520618556701031,0.4572633745079169,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000128383,APOBEC3A,recurrent_loss,0.25,0.6520618556701031,0.44402171619303676,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000129195,PIMREG,recurrent_loss,0,1,0.9104532495425467,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000129214,SHBG,recurrent_loss,1,0.059278350515463915,0.0026153023450721786,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000129810,SGO1,recurrent_loss,0,1,0.7747870035062678,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000130377,ACSBG2,recurrent_loss,1,0.059278350515463915,0.0358573014094235,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000130812,ANGPTL6,recurrent_loss,0.5,0.42010309278350516,0.3813890384446551,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
