tcga_code,gene,target_gene_id,target_logFC,target_q_value_global,target_baseline_tpm,target_tau,target_breadth_1tpm,target_organ_specificity_log2,target_mean_normal_logcpm,n_background,background_median_baseline_log2_tpm1,background_median_tau,background_median_breadth_1tpm,background_median_organ_specificity_log2,background_median_normal_logcpm,background_median_logFC,background_mean_logFC,excess_logFC_vs_background,background_percentile,empirical_p_lower,empirical_p_upper,empirical_p_directional,empirical_p_two_sided,median_matching_distance,maximum_matching_distance,matching_status,q_empirical_directional,selective_disruption_candidate,selective_direction,organ,selective_disruption_candidate_directional_legacy,selective_direction_directional_legacy,q_empirical_two_sided,matched_background_primary_inference
KIRC,CYP3A5,ENSG00000106258,1.4618337550315277,1.163952578095383e-11,8.15326,0.9437232781882396,0.5370370370370371,2.32408590342981,3.2173521456436354,1000,2.301995529165689,0.9177418458454114,0.5740740740740741,1.512692528158298,3.384647675926489,-0.8893181692353798,-1.2093757962561276,2.3511519242669072,0.929,0.929070929070929,0.07192807192807193,0.07192807192807193,0.14385614385614387,1.6383787085601047,1.9969553727867877,estimable:within_caliper,0.1896103896103896,FALSE,not_selective_after_two_sided_matching,kidney,FALSE,not_selective_after_matching,0.37922077922077924,two_sided_empirical_P_with_BH_across_estimable_cells
KIRC,CYP3A7,ENSG00000160870,-0.4792482413452199,0.04503717482316122,0.687882,0.9920989699539168,0.05555555555555555,1.8749620746821485,-1.12216425339261,1000,0.3934677685568495,0.9686024739923288,0.12037037037037036,0.4965874474478502,-0.6607075204672956,-0.48030846340344047,-0.6230427359137098,0.00106022205822053,0.5,0.5004995004995005,0.5004995004995005,0.5004995004995005,1,1.3867030399036944,1.7208915386221826,estimable:within_caliper,0.5741023682200153,FALSE,not_selective_after_two_sided_matching,kidney,FALSE,not_selective_after_matching,1,two_sided_empirical_P_with_BH_across_estimable_cells
KIRC,CYP3A43,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,kidney,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
KIRP,MAOB,ENSG00000069535,-0.8481437556344779,0.01271471991675457,37.6169,0.7595819301901545,0.9444444444444444,-0.537354021720432,7.397329775725051,1000,4.946499115521373,0.7271219636812574,1,-0.5741034290316749,6.7025443528654325,0.0054053052214535,-0.09807032380520084,-0.8535490608559314,0.111,0.11188811188811187,0.8891108891108891,0.11188811188811187,0.22377622377622375,0.8293601364972245,1.0209883429386266,estimable:within_caliper,0.2424242424242424,FALSE,not_selective_after_two_sided_matching,kidney,FALSE,not_selective_after_matching,0.48484848484848475,two_sided_empirical_P_with_BH_across_estimable_cells
KIRP,CYP3A4,ENSG00000160868,-1.834353719537459,2.5847542651817883e-4,0.213872,0.9964085738630708,0.12962962962962962,0.3639812209423825,0.3155788201232935,1000,0.30180598523987756,0.9671832606388052,0.14814814814814814,0.04159495734825046,-0.5867801873312797,-0.23597571096297215,-0.44738795322084074,-1.598378008574487,0.213,0.2137862137862138,0.7872127872127872,0.2137862137862138,0.4275724275724276,0.8827699617699517,1.1732041076494806,estimable:within_caliper,0.35844155844155845,FALSE,not_selective_after_two_sided_matching,kidney,FALSE,not_selective_after_matching,0.7168831168831169,two_sided_empirical_P_with_BH_across_estimable_cells
KIRP,CYP3A5,ENSG00000106258,1.755226087498147,9.882984488943753e-6,8.15326,0.9437232781882396,0.5370370370370371,2.32408590342981,3.543925504733898,1000,2.322242515566622,0.9172395932322392,0.5740740740740741,1.501931164922809,3.59874224508934,-0.8300010537092707,-1.246826982201988,2.5852271412074175,0.966,0.966033966033966,0.03496503496503497,0.03496503496503497,0.06993006993006994,1.6319745321025532,1.9948566187095216,estimable:within_caliper,0.13636363636363638,FALSE,not_selective_after_two_sided_matching,kidney,FALSE,not_selective_after_matching,0.27272727272727276,two_sided_empirical_P_with_BH_across_estimable_cells
KIRP,CYP3A7,ENSG00000160870,-1.7743696974805263,3.241764421126165e-4,0.687882,0.9920989699539168,0.05555555555555555,1.8749620746821485,-0.6807281894968732,1000,0.4079500353557978,0.9685538076264488,0.12962962962962962,0.5726791297885675,-0.4617039463112268,-0.5153898200579832,-0.7909523112129864,-1.2589798774225434,0.288,0.2887112887112887,0.7122877122877123,0.2887112887112887,0.5774225774225774,1.3679059155745177,1.7029004440962383,estimable:within_caliper,0.40213358070500926,FALSE,not_selective_after_two_sided_matching,kidney,FALSE,not_selective_after_matching,0.7264348554671135,two_sided_empirical_P_with_BH_across_estimable_cells
KIRP,CYP3A43,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,kidney,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
LIHC,MAOB,ENSG00000069535,-0.914125081691664,6.406453379619561e-9,99.7081,0.7595819301901545,0.9444444444444444,0.8665917776291728,8.356422604603969,1000,5.814577129395769,0.722954883470482,1,0.12225174229337862,6.929828361939364,-0.2915695770413986,-0.4536602158108244,-0.6225555046502655,0.229,0.22977022977022976,0.7712287712287712,0.22977022977022976,0.4595404595404595,1.3006011982856458,1.6374813214151227,estimable:within_caliper,0.35844155844155845,FALSE,not_selective_after_two_sided_matching,liver,FALSE,not_selective_after_matching,0.7168831168831169,two_sided_empirical_P_with_BH_across_estimable_cells
LIHC,CYP3A4,ENSG00000160868,-7.284966075661003,2.2898221294465483e-16,335.297,0.9964085738630708,0.12962962962962962,10.42545895596903,11.296536765154665,200,7.150128526636136,0.994978838010623,0.1111111111111111,9.10198898637937,8.531902951662236,-2.397033481139226,-2.579357839285639,-4.887932594521777,0.015,0.01990049751243781,0.9850746268656716,0.01990049751243781,0.03980099502487562,1.9600018225948204,3.110029102279776,estimable:caliper_relaxed_to_minimum,0.08623548922056384,FALSE,not_selective_after_two_sided_matching,liver,FALSE,not_selective_after_matching,0.1724709784411277,two_sided_empirical_P_with_BH_across_estimable_cells
