target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,n_contexts,contexts,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,denominator_aligned
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000146834,MEPCE,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.1172652072302782,0.14305997253824168,0.5459973093839418,0.8328492996491853,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000148218,ALAD,5,breast;colon;kidney;lung;prostate,4,0.8,0,0,-0.6628552954591299,-0.8079913452715349,0.6625937232974964,0.8588472030785478,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000149091,DGKZ,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.4218431951886891,0.39924593306578726,0.759543916301367,0.9409998589457708,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000149100,EIF3M,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.18212842741525417,0.31102812264028434,0.770466175064394,0.9222662132850352,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000149187,CELF1,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.1657000006861403,0.1843488987132024,0.817845901058919,0.9218470882389956,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000151239,TWF1,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.6037361753192504,0.37719420834479384,0.8479240431099937,0.9383978110793608,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000151348,EXT2,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.1849192593633778,0.18895481281960352,0.7059031601824937,0.8858209902479277,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000151929,BAG3,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.06135477485511241,-0.03362065740877659,0.6587701279598197,0.7664248883947833,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000156171,DRAM2,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.03431691815914522,-0.06112398063938084,0.767232441895564,0.9006765098440992,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000156261,CCT8,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.5621437056144806,0.490453768928679,0.5205342352782398,0.8732862257721176,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000156860,FBRS,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.1381484971557288,0.24749797258644496,0.6989099087623063,0.9801911500009984,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000157020,SEC13,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.3294712506858657,0.3356993699430119,0.6085475587684083,0.8432058242022697,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000157593,SLC35B2,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.560402239309563,0.4933285699021334,0.6351376111689332,0.976476166282134,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000158669,GPAT4,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.3332654739419295,0.3672996066695357,0.8414954393140056,0.982155209084846,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000159128,IFNGR2,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.40859007610640913,0.2654812669914641,0.8116075705387908,0.8608709824929262,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000159348,CYB5R1,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.0875236553849165,0.001335359676411696,0.7756547031235714,0.9178926513762792,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000162729,IGSF8,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.367346737212918,0.3799587308685372,0.5645020451093083,0.9605711425610672,TRUE
