target_gene,context,logFC,constituent_cancers,n_constituent_cancers,record_type
MAOB,kidney,0.22257670971225207,KIRC;KIRP,2,background_organ_value
MAOB,prostate,-0.22271061848599588,PRAD,1,background_organ_value
MAOB,kidney,-0.44426253120859294,KICH;KIRC;KIRP,3,background_organ_value
MAOB,stomach,-0.6433583914609183,STAD,1,background_organ_value
MAOB,breast,0.37497201317519285,BRCA,1,background_organ_value
MAOB,stomach,0.30363629013300303,STAD,1,background_organ_value
MAOB,thyroid,0.488663638888585,THCA,1,background_organ_value
MAOB,stomach,0.34178920447409794,STAD,1,background_organ_value
MAOB,breast,-0.7854871225099844,BRCA,1,background_organ_value
MAOB,colon,-0.3477435001545063,COAD,1,background_organ_value
MAOB,esophagus,-0.08144809933550318,ESCA,1,background_organ_value
MAOB,kidney,-0.10977285313429916,KICH;KIRC;KIRP,3,background_organ_value
MAOB,prostate,-0.7235315730315093,PRAD,1,background_organ_value
MAOB,stomach,-0.3702429777757504,STAD,1,background_organ_value
MAOB,esophagus,-1.2396062242113894,ESCA,1,background_organ_value
MAOB,stomach,0.8209566460010901,STAD,1,background_organ_value
MAOB,esophagus,0.8284996415718133,ESCA,1,background_organ_value
MAOB,stomach,0.3459163494067181,STAD,1,background_organ_value
MAOB,colon,1.0265915874809095,COAD,1,background_organ_value
MAOB,esophagus,0.9310804334597544,ESCA,1,background_organ_value
MAOB,stomach,1.288799979772914,STAD,1,background_organ_value
MAOB,stomach,-0.17561830616225435,STAD,1,background_organ_value
MAOB,colon,0.930738581557336,COAD,1,background_organ_value
MAOB,thyroid,1.54869503829716,THCA,1,background_organ_value
MAOB,esophagus,-0.6697303751125715,ESCA,1,background_organ_value
MAOB,esophagus,-1.1413436063403486,ESCA,1,background_organ_value
MAOB,liver,-0.9827612663673276,LIHC,1,background_organ_value
MAOB,lung,-2.309389263960064,LUAD;LUSC,2,background_organ_value
MAOB,stomach,-1.7899295599701983,STAD,1,background_organ_value
MAOB,breast,0.08858094055536934,BRCA,1,background_organ_value
MAOB,kidney,-0.055621038167688444,KIRC;KIRP,2,background_organ_value
MAOB,prostate,-0.06109569477472283,PRAD,1,background_organ_value
MAOB,esophagus,-0.5314807679154937,ESCA,1,background_organ_value
MAOB,liver,-1.0246506884696402,LIHC,1,background_organ_value
MAOB,lung,-1.212215586578364,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.8730940001412297,PRAD,1,background_organ_value
MAOB,kidney,-0.02936073897079432,KICH;KIRC;KIRP,3,background_organ_value
MAOB,prostate,-0.00587346186446789,PRAD,1,background_organ_value
MAOB,stomach,0.8114569830209809,STAD,1,background_organ_value
MAOB,colon,1.6096964575006238,COAD,1,background_organ_value
MAOB,kidney,-2.285804192677196,KICH;KIRC;KIRP,3,background_organ_value
MAOB,stomach,1.6443986216665691,STAD,1,background_organ_value
MAOB,stomach,0.632204940320297,STAD,1,background_organ_value
MAOB,stomach,-0.0667404042052755,STAD,1,background_organ_value
MAOB,thyroid,-1.243713794417363,THCA,1,background_organ_value
MAOB,liver,-1.2802301693415143,LIHC,1,background_organ_value
MAOB,kidney,-1.1762980287304634,KICH;KIRC;KIRP,3,background_organ_value
MAOB,thyroid,-0.3277985016775782,THCA,1,background_organ_value
MAOB,esophagus,-0.5635949381585614,ESCA,1,background_organ_value
MAOB,stomach,-0.5795178211613148,STAD,1,background_organ_value
MAOB,breast,0.9265306156129692,BRCA,1,background_organ_value
MAOB,thyroid,0.34948094471725927,THCA,1,background_organ_value
MAOB,lung,0.8580025849899537,LUAD;LUSC,2,background_organ_value
MAOB,stomach,0.7522305645444622,STAD,1,background_organ_value
MAOB,breast,0.22269663018561064,BRCA,1,background_organ_value
MAOB,liver,-0.10833095098174594,LIHC,1,background_organ_value
MAOB,lung,0.614130491386185,LUAD;LUSC,2,background_organ_value
MAOB,prostate,-0.1311973365425513,PRAD,1,background_organ_value
MAOB,colon,-0.14585485799126752,COAD,1,background_organ_value
MAOB,kidney,0.12508542267527537,KICH,1,background_organ_value
MAOB,esophagus,-0.9699762781736376,ESCA,1,background_organ_value
MAOB,liver,-0.507463883377247,LIHC,1,background_organ_value
MAOB,esophagus,-1.694868629977667,ESCA,1,background_organ_value
MAOB,kidney,-0.006827700211128976,KIRC;KIRP,2,background_organ_value
MAOB,colon,-0.21212708532697555,COAD,1,background_organ_value
MAOB,esophagus,-0.02258673507155106,ESCA,1,background_organ_value
MAOB,lung,-0.6998689940915908,LUAD;LUSC,2,background_organ_value
MAOB,breast,0.3317369432068671,BRCA,1,background_organ_value
MAOB,colon,-0.2703702410350529,COAD,1,background_organ_value
MAOB,esophagus,0.07947078071347624,ESCA,1,background_organ_value
MAOB,kidney,0.05806873329585944,KICH;KIRC;KIRP,3,background_organ_value
MAOB,prostate,0.03460550382110346,PRAD,1,background_organ_value
MAOB,stomach,-0.1321349488013264,STAD,1,background_organ_value
MAOB,breast,-2.3655000248783247,BRCA,1,background_organ_value
MAOB,esophagus,-0.3430357154483508,ESCA,1,background_organ_value
MAOB,thyroid,0.5040959267949175,THCA,1,background_organ_value
MAOB,breast,-0.5335433777414301,BRCA,1,background_organ_value
MAOB,colon,-0.12619934146800765,COAD,1,background_organ_value
MAOB,esophagus,-0.06948842308733147,ESCA,1,background_organ_value
MAOB,lung,-0.3669991843519442,LUAD;LUSC,2,background_organ_value
MAOB,stomach,-0.32560337836544956,STAD,1,background_organ_value
MAOB,stomach,0.9932837378111256,STAD,1,background_organ_value
MAOB,breast,-0.9968731969592466,BRCA,1,background_organ_value
MAOB,esophagus,-0.07087609252916667,ESCA,1,background_organ_value
MAOB,kidney,-0.906506321859033,KICH;KIRC;KIRP,3,background_organ_value
MAOB,breast,0.5782552175122646,BRCA,1,background_organ_value
MAOB,kidney,-0.24713676754132455,KIRC,1,background_organ_value
MAOB,lung,0.5655209496208122,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.09544868448566513,PRAD,1,background_organ_value
MAOB,kidney,0.2438620530556572,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,0.24063642993776263,LUAD;LUSC,2,background_organ_value
MAOB,stomach,0.5120807529095887,STAD,1,background_organ_value
MAOB,breast,-0.10149072161570252,BRCA,1,background_organ_value
MAOB,stomach,-0.12383128164143868,STAD,1,background_organ_value
MAOB,breast,-0.36594593020592375,BRCA,1,background_organ_value
MAOB,colon,-0.20620494640949497,COAD,1,background_organ_value
MAOB,esophagus,-0.9485104498114818,ESCA,1,background_organ_value
MAOB,lung,-0.6416430261799457,LUAD;LUSC,2,background_organ_value
MAOB,prostate,-0.26689948032887073,PRAD,1,background_organ_value
MAOB,stomach,-0.512193538115747,STAD,1,background_organ_value
MAOB,esophagus,0.6532161558022954,ESCA,1,background_organ_value
MAOB,breast,-0.03757572660448012,BRCA,1,background_organ_value
MAOB,liver,-0.4932584244183941,LIHC,1,background_organ_value
MAOB,liver,-0.8839349093442649,LIHC,1,background_organ_value
MAOB,thyroid,0.5659509604794245,THCA,1,background_organ_value
MAOB,colon,0.93854120445838,COAD,1,background_organ_value
MAOB,breast,-0.06636905121924368,BRCA,1,background_organ_value
MAOB,kidney,0.5477370615952172,KICH;KIRC;KIRP,3,background_organ_value
MAOB,liver,0.2829000440037415,LIHC,1,background_organ_value
MAOB,colon,0.9151265019837164,COAD,1,background_organ_value
MAOB,lung,1.0341669201134496,LUAD;LUSC,2,background_organ_value
MAOB,stomach,0.4559028279924914,STAD,1,background_organ_value
MAOB,breast,1.111445627342793,BRCA,1,background_organ_value
MAOB,kidney,0.8577047205861131,KICH;KIRC;KIRP,3,background_organ_value
MAOB,liver,0.22969976865782252,LIHC,1,background_organ_value
MAOB,lung,1.5141685445836304,LUSC,1,background_organ_value
MAOB,prostate,0.7765488648320718,PRAD,1,background_organ_value
MAOB,stomach,-0.09842336636580674,STAD,1,background_organ_value
MAOB,esophagus,-1.7695403211277516,ESCA,1,background_organ_value
MAOB,liver,-1.3124894557438052,LIHC,1,background_organ_value
MAOB,thyroid,0.09235818591758256,THCA,1,background_organ_value
MAOB,breast,-0.03431691815914522,BRCA,1,background_organ_value
MAOB,colon,-0.2798559101673366,COAD,1,background_organ_value
MAOB,kidney,0.11189606694299994,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,-0.17583866961396255,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.07249552780054018,PRAD,1,background_organ_value
MAOB,breast,0.6412569721733501,BRCA,1,background_organ_value
MAOB,colon,0.5621437056144806,COAD,1,background_organ_value
MAOB,esophagus,0.21896652144574885,ESCA,1,background_organ_value
MAOB,kidney,0.1912079413558836,KICH;KIRC;KIRP,3,background_organ_value
MAOB,liver,0.3236641451602649,LIHC,1,background_organ_value
MAOB,lung,0.6875117989338397,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.3701484265658409,PRAD,1,background_organ_value
MAOB,breast,-2.598315025073214,BRCA,1,background_organ_value
MAOB,colon,-2.9061719393869017,COAD,1,background_organ_value
MAOB,kidney,-0.934980931093906,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,-2.283142964102108,LUAD;LUSC,2,background_organ_value
MAOB,stomach,-1.2230711706688386,STAD,1,background_organ_value
MAOB,thyroid,2.933849775004878,THCA,1,background_organ_value
MAOB,lung,0.6877774343861237,LUAD;LUSC,2,background_organ_value
MAOB,stomach,0.6208563339600193,STAD,1,background_organ_value
