target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,n_contexts,contexts,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,denominator_aligned
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000089006,SNX5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,-0.18166092431570016,-0.1501354652667842,0.6867506232649325,0.7441264231158232,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000090013,BLVRB,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.10010089752845512,0.11416551401433225,0.7750046568370421,0.8605561695368944,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000090238,YPEL3,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.16666666666666666,0,0,-0.1945496084366825,-0.18430843603671615,0.7776640119476022,0.926365891973989,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000090372,STRN4,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.32745141790126603,0.3478499677031055,0.6063948221924627,0.7591679076555824,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000090581,GNPTG,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.20673150645849941,0.1837434275898877,0.8289095557705135,0.9001555346333472,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000090621,PABPC4,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.5722398440259593,0.5692115905423544,0.736570524706584,0.8794377384172165,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000095787,WAC,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.03576623402319584,-0.0269521546163031,0.6590250480715327,0.7273216929865053,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000097007,ABL1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.09484737587289703,0.12549212202034415,0.8580920595851189,0.9596397418613228,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000099797,TECR,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,-0.09045945930671667,0.07143367662026114,0.7234945194832124,0.7662590135662953,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000099814,CEP170B,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.16666666666666666,2,0.3333333333333333,0.22229039923657656,0.21591344782132477,0.6368185535203222,0.8260707299731547,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000099821,POLRMT,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.20881852843566806,0.32222039626583177,0.7228147010908228,0.8819794692024508,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000099864,PALM,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,5,0.8333333333333334,0,0,-1.561934809807216,-1.330896130065219,0.603218130489367,0.6456923475327497,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000099956,SMARCB1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.3370652634140945,0.41254080015987354,0.7615221935343247,0.8404890837698011,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000100029,PES1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.40173097995731566,0.4641397565492257,0.8949742129555587,1.004529173053628,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000100225,FBXO7,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,-0.21606935057723492,-0.12773905556898524,0.5838460014780118,0.7936374786699502,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000100241,SBF1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.47002858442718043,0.5122571965177439,0.660614976395138,0.8595906458882236,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000100401,RANGAP1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.34254234226731106,0.379998786771514,0.4139818503922062,0.543666903697951,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000100412,ACO2,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.16666666666666666,1,0.16666666666666666,-0.08245562712735678,0.06012122180293758,0.64158929871565,0.763386911234664,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000100567,PSMA3,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.21859818993695374,0.25606125341275865,0.6785277421807444,0.8113301895056808,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000100632,ERH,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.31152928660363993,0.3035916865291207,0.6103568036925928,0.8478483912260556,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000100883,SRP54,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.2801275410516249,0.2373457026334706,0.819165757516951,0.9882705181986888,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000101152,DNAJC5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.29567514762421254,0.3349538828754754,0.5163983541887858,0.594839393989036,TRUE
