tcga_code,partner,n_pairs,detection_normal_MAOB,detection_tumor_MAOB,detection_normal_partner,detection_tumor_partner,rho_normal,rho_tumor,delta_rho,bootstrap_valid,ci_low,ci_high,bootstrap_p_two_sided,status,organ,bootstrap_q_primary,passes_coexpression_effect,bootstrap_robust,rewiring_direction,n_pairs_permutation,observed_rho_normal_from_cache,observed_rho_tumor_from_cache,observed_delta_rho_from_cache,n_permutations_requested,n_permutations_valid,permutation_p_two_sided,permutation_monte_carlo_se,permutation_null_median_delta_rho,permutation_null_q025,permutation_null_q975,permutation_scheme,q_permutation_primary,n_cells_in_permutation_BH,permutation_passes_effect,permutation_robust,permutation_status,robust_call_agreement,robust_call_comparison
KICH,CYP3A7,25,1,1,0.96,0.96,0.7138461538461538,0.07615384615384616,-0.6376923076923077,2000,-1.0045928883613016,-0.20711403690085917,0.00299850074962518,exploratory_n_20_29,kidney,,TRUE,FALSE,not_robust,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
KIRC,CYP3A4,72,1,1,1,0.9861111111111112,0.8820502926233199,0.14933436233841407,-0.7327159302849058,2000,-0.9801316085851268,-0.4661366542898725,9.995002498750624e-4,primary_n_ge_30,kidney,0.00666333499916708,TRUE,TRUE,more_negative_in_tumor,72,0.8820502926233199,0.14933436233841407,-0.7327159302849058,5000,5000,3.999200159968006e-4,2.827296036671137e-4,0.0030387806289793873,-0.3553331403948808,0.35858254550131785,joint within-patient normal/tumor label swap for both genes,0.002666133439978671,40,TRUE,TRUE,primary_permutation_estimable,TRUE,robust_by_both
KIRC,CYP3A43,72,1,1,0.875,0.8888888888888888,0.24655605675314643,0.032942996521070383,-0.21361306023207605,2000,-0.5086755019760667,0.09805927969357586,0.19590204897551225,primary_n_ge_30,kidney,0.41179410294852575,TRUE,FALSE,not_robust,72,0.24655605675314643,0.032942996521070383,-0.21361306023207605,5000,5000,0.1933613277344531,0.005584649252441011,-0.0013866839673231796,-0.32405902823199084,0.3325914786745664,joint within-patient normal/tumor label swap for both genes,0.39832033593281346,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
KIRC,CYP3A5,72,1,1,1,1,0.6637725898771626,0.11020001286256352,-0.553572577014599,2000,-0.8337583301879448,-0.2855520827488945,9.995002498750624e-4,primary_n_ge_30,kidney,0.00666333499916708,TRUE,TRUE,more_negative_in_tumor,72,0.6637725898771626,0.11020001286256352,-0.553572577014599,5000,5000,1.999600079984003e-4,1.9994001499650077e-4,0.003778378030741547,-0.2744525371406522,0.27406907196604274,joint within-patient normal/tumor label swap for both genes,0.001999600079984003,40,TRUE,TRUE,primary_permutation_estimable,TRUE,robust_by_both
KIRC,CYP3A7,72,1,1,1,0.9861111111111112,0.8439127918194098,0.20091324200913244,-0.6429995498102774,2000,-0.9104646750327586,-0.3917413427765272,9.995002498750624e-4,primary_n_ge_30,kidney,0.00666333499916708,TRUE,TRUE,more_negative_in_tumor,72,0.8439127918194098,0.20091324200913244,-0.6429995498102774,5000,5000,3.999200159968006e-4,2.827296036671137e-4,-0.0012862563508907465,-0.3403265483310824,0.34875072351919717,joint within-patient normal/tumor label swap for both genes,0.002666133439978671,40,TRUE,TRUE,primary_permutation_estimable,TRUE,robust_by_both
KIRP,CYP3A4,32,1,1,1,0.96875,0.939516129032258,0.25513196480938416,-0.6843841642228738,2000,-1.0380221881560625,-0.37364612787793217,9.995002498750624e-4,primary_n_ge_30,kidney,0.00666333499916708,TRUE,TRUE,more_negative_in_tumor,32,0.939516129032258,0.25513196480938416,-0.6843841642228738,5000,5000,1.999600079984003e-4,1.9994001499650077e-4,0.0021994134897360684,-0.3361436950146626,0.32882148093841634,joint within-patient normal/tumor label swap for both genes,0.001999600079984003,40,TRUE,TRUE,primary_permutation_estimable,TRUE,robust_by_both
KIRP,CYP3A43,32,1,1,0.90625,0.75,-0.09790979756212884,0.2703214514521004,0.3682312490142292,2000,-0.1934888245150705,0.9113877691374208,0.2048975512243878,primary_n_ge_30,kidney,0.41179410294852575,TRUE,FALSE,not_robust,32,-0.09790979756212884,0.2703214514521004,0.3682312490142292,5000,5000,0.16116776644671066,0.005199340042128722,0.0026245465855090355,-0.5073422629332012,0.5158490972110977,joint within-patient normal/tumor label swap for both genes,0.3914511215403978,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
KIRP,CYP3A5,32,1,1,1,1,0.6598240469208211,0.4274193548387096,-0.23240469208211145,2000,-0.5998831927640484,0.11168293923562528,0.16691654172913542,primary_n_ge_30,kidney,0.41179410294852575,TRUE,FALSE,not_robust,32,0.6598240469208211,0.42741935483870963,-0.23240469208211145,5000,5000,0.19916016796640673,0.005647362265012704,-3.665689149560114e-4,-0.34677419354838707,0.344208211143695,joint within-patient normal/tumor label swap for both genes,0.39832033593281346,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
KIRP,CYP3A7,32,1,1,1,0.90625,0.875733137829912,0.2244224573334189,-0.6513106804964931,2000,-0.9983149560103006,-0.3418185544693501,9.995002498750624e-4,primary_n_ge_30,kidney,0.00666333499916708,TRUE,TRUE,more_negative_in_tumor,32,0.875733137829912,0.2244224573334189,-0.6513106804964931,5000,5000,1.999600079984003e-4,1.9994001499650077e-4,5.466266516363505e-4,-0.39606217509228975,0.40275455305787566,joint within-patient normal/tumor label swap for both genes,0.001999600079984003,40,TRUE,TRUE,primary_permutation_estimable,TRUE,robust_by_both
LUAD,CYP3A4,58,1,1,0.8620689655172413,0.8275862068965517,-0.09819368611123706,0.00739224140671344,0.10558592751795053,2000,-0.24405710397075217,0.45773690845508974,0.5387306346826587,primary_n_ge_30,lung,0.7369648509078793,FALSE,FALSE,not_robust,58,-0.09819368611123706,0.0073922414067134476,0.10558592751795051,5000,5000,0.6222755448910218,0.006855679262967996,0.004635717516627592,-0.3984410720324338,0.4035840725335282,joint within-patient normal/tumor label swap for both genes,0.8150627938928343,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
