tcga_code,organ,gene,n_background,matching_status,median_matching_distance,maximum_matching_distance,target_baseline_log2_tpm1,background_median_baseline_log2_tpm1,difference_baseline_log2_tpm1,target_tau,background_median_tau,difference_tau,target_breadth_1tpm,background_median_breadth_1tpm,difference_breadth_1tpm,target_organ_specificity_log2,background_median_organ_specificity_log2,difference_organ_specificity_log2,target_mean_normal_logcpm,background_median_normal_logcpm,difference_normal_logcpm
KIRP,kidney,CYP3A7,1000,estimable:within_caliper,1.3679059155745175,1.7029004440962385,0.7552140486153798,0.4079500353557978,0.34726401325958195,0.9920989699539168,0.9685538076264488,0.02354516232746795,0.05555555555555555,0.12962962962962962,-0.07407407407407407,1.8749620746821485,0.5726791297885675,1.302282944893581,-0.6807281894968732,-0.4617039463112268,-0.2190242431856464
LIHC,liver,MAOB,1000,estimable:within_caliper,1.3006011982856458,1.6374813214151227,6.654035914428958,5.814577129395769,0.8394587850331892,0.7595819301901545,0.722954883470482,0.03662704671967254,0.9444444444444444,1,-0.05555555555555558,0.8665917776291728,0.12225174229337862,0.7443400353357942,8.356422604603969,6.929828361939364,1.4265942426646046
LIHC,liver,CYP3A4,200,estimable:caliper_relaxed_to_minimum,1.9600018225948204,3.110029102279776,8.393592098866913,7.150128526636136,1.2434635722307767,0.9964085738630708,0.994978838010623,0.0014297358524477666,0.12962962962962962,0.1111111111111111,0.018518518518518517,10.42545895596903,9.10198898637937,1.3234699695896595,11.296536765154665,8.531902951662236,2.764633813492429
LIHC,liver,CYP3A5,200,estimable:caliper_relaxed_to_minimum,1.801825258427716,2.215320476009002,7.293269312477009,6.331499408599881,0.9617699038771281,0.9437232781882395,0.9625801800999081,-0.018856901911668555,0.5370370370370371,0.5,0.03703703703703709,6.564089308795446,6.026634288142217,0.5374550206532289,8.08114751110693,7.390333882257597,0.6908136288493338
LIHC,liver,CYP3A7,212,estimable:within_caliper,1.296515304876487,1.9878892637171288,4.6731663008801325,4.526437414510385,0.1467288863697478,0.9920989699539168,0.9754935476289311,0.01660542232498563,0.05555555555555555,0.12962962962962962,-0.07407407407407407,6.840265064553394,6.468670562118776,0.37159450243461833,4.452004181056193,5.35929478008902,-0.9072905990328275
LIHC,liver,CYP3A43,299,estimable:within_caliper,1.4857356507281128,1.9998255418608044,2.4026348704193086,2.0292408390900687,0.3733940313292399,0.9588837795202965,0.9576365599409039,0.0012472195793925556,0.05555555555555555,0.16666666666666666,-0.1111111111111111,4.407429299182693,3.5485901739985852,0.8588391251841081,2.8622187235936436,2.837678880406904,0.024539843186739407
LUAD,lung,MAOB,1000,estimable:within_caliper,0.7281608959245697,0.8842528923702638,5.891924624861612,5.334736249243609,0.5571883756180025,0.7595819301901545,0.7280925458412124,0.03148938434894211,0.9444444444444444,1,-0.05555555555555558,0.0953979214004817,0.2885249057030074,-0.19312698430252567,5.714779962333995,5.733724385212332,-0.018944422878337086
LUAD,lung,CYP3A5,1000,estimable:within_caliper,1.5412189722403906,1.972321117058791,4.213565030589169,3.433349404946331,0.7802156256428385,0.9437232781882395,0.9290096778605599,0.014713600327679655,0.5370370370370371,0.5925925925925926,-0.05555555555555547,3.4209469432450192,2.7959272924979204,0.6250196507470989,3.4044217808390047,3.735243029677254,-0.33082124883824937
LUSC,lung,MAOB,1000,estimable:within_caliper,0.7057796318009184,0.8545124348596851,5.891924624861612,5.368226527715853,0.5236980971457585,0.7595819301901545,0.7271863101438192,0.03239562004633534,0.9444444444444444,1,-0.05555555555555558,0.0953979214004817,0.29103263557262327,-0.19563471417214157,5.825534725399154,5.787168235061747,0.03836649033740702
LUSC,lung,CYP3A5,1000,estimable:within_caliper,1.479369490231164,1.9000178264303216,4.213565030589169,3.481318289310984,0.7322467412781855,0.9437232781882395,0.9295221089458935,0.014201169242346046,0.5370370370370371,0.5925925925925926,-0.05555555555555547,3.4209469432450192,2.821607138813267,0.5993398044317524,3.400164825569516,3.806204448739175,-0.4060396231696588
LUSC,lung,CYP3A7,914,estimable:within_caliper,1.560112634513038,1.9992901870888051,1.4241373926280432,1.0696222831956135,0.3545151094324297,0.9920989699539168,0.9693641580476374,0.02273481190627935,0.05555555555555555,0.12962962962962962,-0.07407407407407407,3.053654166087647,2.1080063310615857,0.9456478350260613,-1.7202498289374948,0.3575260899851612,-2.077775918922656
PRAD,prostate,MAOB,1000,estimable:within_caliper,0.7537684520022008,0.9188007513061182,5.904190230252803,5.5495798369462435,0.35461039330655986,0.7595819301901545,0.7245116982182027,0.035070231971951804,0.9444444444444444,1,-0.05555555555555558,0.10785147797031763,0.1970336078970112,-0.08918212992669355,6.933407854614689,6.440766166619666,0.4926416879950235
PRAD,prostate,CYP3A5,200,estimable:caliper_relaxed_to_minimum,1.5853964438205086,2.000392736386983,5.443666320532872,4.2822932282486175,1.1613730922842542,0.9437232781882395,0.9154879003421057,0.028235377846133836,0.5370370370370371,0.48148148148148145,0.055555555555555636,4.692641430605946,4.12967091530979,0.5629705152961559,4.676410977894947,4.812928972361158,-0.13651799446621116
PRAD,prostate,CYP3A43,1000,estimable:within_caliper,1.3795443224470705,1.7602084035885952,0.7269288462635529,0.5839318645009983,0.1429969817625546,0.9588837795202965,0.9648326930461342,-0.005948913525837707,0.05555555555555555,0.12962962962962962,-0.07407407407407407,1.8687335368568048,0.9462389819250202,0.9224945549317846,-2.319085152527923,-1.0706389721919924,-1.2484461803359306
STAD,stomach,MAOB,1000,estimable:within_caliper,0.967460442407075,1.1146112609669276,4.415555874669163,4.105317588256893,0.3102382864122699,0.7595819301901545,0.7398852247505247,0.01969670543962987,0.9444444444444444,1,-0.05555555555555558,-1.4210993491669603,-0.7077584518555672,-0.7133408973113932,5.975718183231056,5.525200367151166,0.4505178160798895
STAD,stomach,CYP3A4,1000,estimable:within_caliper,1.011895081555557,1.303103562556128,0.18584244734675526,0.3623935783605212,-0.17655113101376596,0.9964085738630708,0.9608516172654731,0.03555695659759772,0.12962962962962962,0.16666666666666666,-0.037037037037037035,-0.038383020065137344,0.017863819771266214,-0.05624683983640356,1.5348214423179378,0.11157904307864053,1.4232423992392973
STAD,stomach,CYP3A5,200,estimable:caliper_relaxed_to_minimum,1.7370117541767012,2.1727648830625506,5.532609957525062,4.385107135793914,1.1475028217311474,0.9437232781882395,0.9212121376956453,0.022511140492594284,0.5370370370370371,0.5,0.03703703703703709,4.7834053259272435,4.245533091611787,0.5378722343154569,5.6673362178172715,4.4862484119941435,1.181087805823128
THCA,thyroid,MAOB,260,estimable:within_caliper,1.778875069242909,1.999914955870247,3.465896125994902,2.694746125277217,0.771150000717685,0.7595819301901545,0.8181147665406441,-0.05853283635048956,0.9444444444444444,0.9629629629629629,-0.01851851851851849,-2.4311706832409326,-0.949937318951457,-1.4812333642894755,3.454659760186185,2.62110150318275,0.833558257003435
THCA,thyroid,CYP3A5,1000,estimable:within_caliper,1.568687419158372,1.8649754931860891,0.6998705181646011,1.1610810860332603,-0.4612105678686592,0.9437232781882395,0.9064020796397305,0.037321198548509016,0.5370370370370371,0.6296296296296297,-0.09259259259259256,-1.1861013918332202,-0.33179347423931593,-0.8543079175939042,2.4175892682076956,0.5979213990892931,1.8196678691184025
