tcga_code,gene_id,gene_symbol,baseline_tpm,organ_specificity_log2,logFC,p_value,q_value_project
KICH,ENSG00000164283,ESM1,11.6026,5.583780484531876,1.9251133122663757,4.08614312494037e-7,2.0423902141644544e-6
KICH,ENSG00000159166,LAD1,24.3193,5.5428358094437575,-4.95832784912416,2.403401794172388e-9,2.3665218135673026e-8
KICH,ENSG00000153303,FRMD1,7.8283,5.523203724201602,-7.784205952388708,4.734845691059428e-17,1.2131989067050204e-14
KICH,ENSG00000188175,HEPACAM2,7.38302,5.5205170117523394,3.1002063353510625,1.669894809088084e-9,1.7252290880893782e-8
KICH,ENSG00000135100,HNF1A,5.28446,5.5179290389184565,-2.157136471965983,0.00121945363236021,0.0025239490597567856
KICH,ENSG00000131400,NAPSA,62.2918,5.507372126481483,-5.434905252893161,2.0990024237163956e-16,3.932443558646529e-14
KICH,ENSG00000184434,LRRC19,7.1895,5.502282282028181,-7.117897425420689,1.451527688208422e-15,1.7856072065530294e-13
KICH,ENSG00000110887,DAO,5.00652,5.473212510418742,-7.818108297267137,4.919584971278539e-15,4.728631329324314e-13
KICH,ENSG00000125144,MT1G,523.273,5.447803584772839,-7.347423713981065,4.025388880073001e-16,6.401152262024755e-14
KICH,ENSG00000126562,WNK4,16.2105,5.442549253174322,-5.507252255017678,7.899902367510527e-15,6.663568914938085e-13
KICH,ENSG00000204610,TRIM15,4.85285,5.434259943710985,-7.128086741285223,1.5243499148629644e-14,1.1423369379846279e-12
KICH,ENSG00000139194,RBP5,232.798,5.417884672629205,-4.499023433651025,9.991705633656622e-12,2.30644619704089e-10
KICH,ENSG00000113905,HRG,4.94447,5.4175321998889014,-9.773862733345778,2.805683150647372e-17,7.645668772731662e-15
KICH,ENSG00000167748,KLK1,19.3233,5.410010813964097,5.9569127095916725,8.181933210961474e-11,1.3475785287724066e-9
KICH,ENSG00000181418,DDN,16.5354,5.408050582971027,-6.160901979635538,1.6487665420484784e-10,2.4346283146941044e-9
KICH,ENSG00000134873,CLDN10,28.3429,5.380638137905361,-8.293550592550016,2.3735189809496617e-12,6.955802901852898e-11
KICH,ENSG00000189143,CLDN4,37.118,5.345465460810219,-0.330899401242854,0.20289538722444966,0.2537310870809123
KICH,ENSG00000204653,ASPDH,18.2062,5.316731337038148,-3.3833856026320674,7.016929287471028e-6,2.4816488663240278e-5
KICH,ENSG00000137648,TMPRSS4,5.43833,5.315303885625431,-3.928627637729971,1.8618508082875217e-8,1.3702986850332188e-7
KICH,ENSG00000127831,VIL1,5.46319,5.310873876386949,-8.175937230142779,2.3805230005174962e-17,7.035283678853327e-15
KICH,ENSG00000134258,VTCN1,5.57615,5.289033863320636,-6.668166880361204,2.675183382950132e-16,4.6391217292927783e-14
KICH,ENSG00000160282,FTCD,55.6175,5.255222125128773,-6.164950331328237,1.636858867311955e-12,5.0213756743869525e-11
KICH,ENSG00000109684,CLNK,5.04842,5.242600775845996,4.373270052476215,1.029076372817793e-12,3.4329267934556045e-11
KIRC,ENSG00000166589,CDH16,334.725,11.31337631832086,-2.630307394169638,1.9438173064908303e-24,4.3155599759426006e-23
KIRC,ENSG00000136872,ALDOB,1455.53,11.086981145201309,-4.960880124628981,1.6422491144082775e-12,6.101265454372315e-12
KIRC,ENSG00000169344,UMOD,190.478,10.896165871261495,-12.473774551098138,1.460643184551999e-32,2.249622613232864e-30
KIRC,ENSG00000116218,NPHS2,174.964,10.773666724451566,-8.045554876887172,4.239941840088982e-21,4.7844634374721434e-20
KIRC,ENSG00000167580,AQP2,182.646,10.673603612114148,-12.153251564137406,1.0486901569169187e-33,2.3355985621103332e-31
KIRC,ENSG00000164825,DEFB1,956.675,10.165651812102205,-3.28561800740235,1.5415993972060407e-24,3.499695283914744e-23
KIRC,ENSG00000171234,UGT2B7,112.895,10.14204321982645,-0.18213529668029355,0.5577210550328733,0.5925313624095171
KIRC,ENSG00000197901,SLC22A6,103.031,10.010262340199345,-3.365398742479135,1.209429201602278e-7,2.7239837180648283e-7
KIRC,ENSG00000149452,SLC22A8,96.6803,9.918569601068807,-7.091618277818618,7.792848371578467e-18,5.465067479146742e-17
KIRC,ENSG00000100253,MIOX,104.029,9.65328609329385,-1.7604355648754364,1.377215571775944e-4,2.3076840950055771e-4
KIRC,ENSG00000250799,PRODH2,68.2568,9.416941051209657,-1.7908074165318628,9.784585037035619e-5,1.6602955346346908e-4
KIRC,ENSG00000150201,FXYD4,83.9905,9.304731858740116,-10.4369675606195,3.158768991887746e-33,5.862564414943941e-31
KIRC,ENSG00000144035,NAT8,199.803,9.258633423971993,0.6613681894247635,0.12428843411587562,0.14821861622273116
KIRC,ENSG00000066813,ACSM2B,73.2398,9.127897636926827,0.4890236329117091,0.29579817153524457,0.33113744515040766
KIRC,ENSG00000100557,CCDC198,54.5555,9.094222871828714,-0.7635173125451776,3.393162864235255e-10,9.891504530378826e-10
KIRC,ENSG00000183747,ACSM2A,69.2634,9.061265346114872,0.46137146191441614,0.27999958436584826,0.31498464515167046
KIRC,ENSG00000070915,SLC12A3,67.6717,9.024524578294773,-7.765461043618276,1.9505589970256066e-28,9.77960361589284e-27
KIRC,ENSG00000214128,TMEM213,63.196,8.985877546682925,-9.577014628325156,1.701613393253872e-29,1.1321615149202964e-27
KIRC,ENSG00000113889,KNG1,60.9294,8.956320648998622,-10.856872658783317,3.1650426169975533e-34,8.476705277270155e-32
KIRC,ENSG00000075891,PAX2,52.7587,8.926278884019435,-0.5954312300156821,4.801093623622005e-4,7.593178269441949e-4
KIRC,ENSG00000162366,PDZK1IP1,457.14,8.923628477155066,0.805501064181996,0.008261338456381329,0.011408746104047787
KIRC,ENSG00000197891,SLC22A12,53.3548,8.922018738492273,-2.704457329839426,3.662683235819777e-7,7.889143021833945e-7
KIRC,ENSG00000149124,GLYAT,49.4594,8.793635667695582,-0.3308644970449643,0.39748204037729984,0.4348012103351727
KIRC,ENSG00000241119,UGT1A9,43.3151,8.762053096644074,0.0033220952685847327,0.9945725399591554,0.9952116568335077
