background_gene_id,background_gene_symbol,n_coverage,covered_cancers,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,target_gene,n_target_cancers,coverage_fraction,eligible_primary_null
ENSG00000183020,AP2A2,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,0,0,-0.2191383261448934,-0.18656092599152838,0.6116235156186309,1.0092984128239462,MAOB,12,0.8333333333333334,TRUE
ENSG00000100225,FBXO7,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,1,0.1,-0.17768878528480242,-0.15607168704265517,0.7087744317497519,1.284160533644045,MAOB,12,0.8333333333333334,TRUE
ENSG00000128185,DGCR6L,10,COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,0,0,0,0,-0.11271995307929447,-0.1423753264157201,0.6986089583685734,1.0825363946155153,MAOB,12,0.8333333333333334,TRUE
ENSG00000106723,SPIN1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,0,0,-0.09905057115473043,-0.11789999995960053,0.8184565199357269,1.145677439644929,MAOB,12,0.8333333333333334,TRUE
ENSG00000090013,BLVRB,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,1,0.1,-0.05055186847926407,0.04689565923700173,0.8082698761531377,0.9274419977144902,MAOB,12,0.8333333333333334,TRUE
ENSG00000115685,PPP1R7,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,0,0,-0.02391995279719111,-0.0461068065999774,0.6148207129914003,1.023156321712128,MAOB,12,0.8333333333333334,TRUE
ENSG00000168958,MFF,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,0,0,-0.015515308663938878,0.013488838327554906,0.5356651617101224,0.8511591257304165,MAOB,12,0.8333333333333334,TRUE
ENSG00000124226,RNF114,10,BRCA;COAD;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,0,0,2,0.2,0.011439951206307458,0.1600197314329055,0.7205386440063252,1.568707831813078,MAOB,12,0.8333333333333334,TRUE
ENSG00000175756,AURKAIP1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,0,0,0.04973012461040996,0.08163506014714791,0.6945450353694973,0.9963311404316113,MAOB,12,0.8333333333333334,TRUE
ENSG00000163930,BAP1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,1,0.1,0.05200868461636268,0.057811812024334545,0.5527630611358599,1.113093125721298,MAOB,12,0.8333333333333334,TRUE
ENSG00000112983,BRD8,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,0,0,0.07029505998753492,0.059066393498988776,0.805465143616078,1.1118541191458737,MAOB,12,0.8333333333333334,TRUE
ENSG00000143862,ARL8A,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,0,0,0.08539095373546843,0.14205276928214147,0.8514268996859059,1.1432672959807764,MAOB,12,0.8333333333333334,TRUE
ENSG00000265354,TIMM23,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,3,0.3,0.09644265074815431,0.2449627215232287,0.8400881431654257,1.6059794863926338,MAOB,12,0.8333333333333334,TRUE
ENSG00000132153,DHX30,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,1,0.1,0.11520185175810724,0.1275201196825062,0.8523195156903252,1.1358755549063737,MAOB,12,0.8333333333333334,TRUE
ENSG00000198612,COPS8,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,0,0,0.12626167912896258,0.16254006834078022,0.7595160506262743,1.0790802746266246,MAOB,12,0.8333333333333334,TRUE
ENSG00000146834,MEPCE,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,1,0.1,0.15656794112397887,0.19699954504895958,0.5949310330913941,1.0754226624380614,MAOB,12,0.8333333333333334,TRUE
ENSG00000151348,EXT2,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,0,0,0.18006229890556852,0.20069874957249995,0.7853233939805214,0.9400086002737569,MAOB,12,0.8333333333333334,TRUE
ENSG00000177889,UBE2N,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,1,0.1,0.19737485162088145,0.1914644737413426,0.637076661571035,1.130485987188958,MAOB,12,0.8333333333333334,TRUE
ENSG00000156860,FBRS,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,2,0.2,0.21027061184770085,0.2991319805932956,0.7326232835389238,1.0606380681681777,MAOB,12,0.8333333333333334,TRUE
ENSG00000116898,MRPS15,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,0,0,0.21152905405427314,0.20763817714402721,0.7016143813293717,1.3286267423024933,MAOB,12,0.8333333333333334,TRUE
ENSG00000104812,GYS1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,3,0.3,0.21375725783052227,0.3447128582861588,0.7437682664021783,1.1062023860817327,MAOB,12,0.8333333333333334,TRUE
ENSG00000157020,SEC13,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,1,0.1,0.23225533654670066,0.2504035849777066,0.7061855365006269,1.3569051362039544,MAOB,12,0.8333333333333334,TRUE
ENSG00000124181,PLCG1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,2,0.2,0.28476932457455073,0.3423977047944895,0.8220604050759676,0.9801695167732913,MAOB,12,0.8333333333333334,TRUE
ENSG00000087087,SRRT,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,3,0.3,0.33907925568714625,0.34038183289833235,0.7183663205828654,1.451876323814682,MAOB,12,0.8333333333333334,TRUE
ENSG00000100567,PSMA3,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,2,0.2,0.339459937463807,0.3004712916553909,0.7508583778077879,1.1997447424651637,MAOB,12,0.8333333333333334,TRUE
ENSG00000156261,CCT8,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,3,0.3,0.34690628586305294,0.39987902823898697,0.6596778818054903,1.608314458425153,MAOB,12,0.8333333333333334,TRUE
ENSG00000090372,STRN4,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,0,0,0.35786973701651364,0.37558057857632365,0.700361551062817,1.105723250098276,MAOB,12,0.8333333333333334,TRUE
ENSG00000126457,PRMT1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,3,0.3,0.36246826479968147,0.5331471590760207,0.6260415325024166,0.884877450582402,MAOB,12,0.8333333333333334,TRUE
ENSG00000196704,AMZ2,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,3,0.3,0.4097588836373739,0.33647097646243956,0.6936354811598285,1.0584129550721981,MAOB,12,0.8333333333333334,TRUE
ENSG00000115866,DARS1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,5,0.5,0.410601143546538,0.4213212279745682,0.5140937736166685,1.0521061873981665,MAOB,12,0.8333333333333334,TRUE
ENSG00000004487,KDM1A,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,3,0.3,0.41468854256149745,0.4056441909509357,0.6301708206378519,1.0412572006579008,MAOB,12,0.8333333333333334,TRUE
ENSG00000108561,C1QBP,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,0,0,4,0.4,0.42867911806317677,0.3288547462062122,0.6951753387727567,1.3292213556429584,MAOB,12,0.8333333333333334,TRUE
ENSG00000100401,RANGAP1,10,BRCA;COAD;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,0,0,4,0.4,0.5021071231741427,0.5163452011329052,0.6628624650106346,1.402633506512438,MAOB,12,0.8333333333333334,TRUE
ENSG00000141985,SH3GL1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,5,0.5,0.561346317677023,0.4792211978431732,0.8084826220453297,0.9953424968500882,MAOB,12,0.8333333333333334,TRUE
ENSG00000166197,NOLC1,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,5,0.5,0.6057059646309672,0.4662641409542669,0.7332848857354312,1.1353185635875338,MAOB,12,0.8333333333333334,TRUE
ENSG00000124207,CSE1L,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,6,0.6,0.765892067247175,0.6017338202616833,0.7428394178535285,1.0810784360549939,MAOB,12,0.8333333333333334,TRUE
ENSG00000138363,ATIC,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,0,0,7,0.7,0.8825721928982755,0.6454832231567453,0.6649177642559075,1.0740089281814493,MAOB,12,0.8333333333333334,TRUE
ENSG00000220205,VAMP2,9,BRCA;COAD;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,8,0.8888888888888888,0,0,-1.013795075678236,-0.9349751173259158,0.7144303449641982,1.0246203719961053,MAOB,12,0.75,FALSE
ENSG00000148218,ALAD,9,BRCA;COAD;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,8,0.8888888888888888,0,0,-0.8710449608236271,-0.887049818124267,0.6211316200623439,0.8588472030785478,MAOB,12,0.75,FALSE
ENSG00000131016,AKAP12,9,BRCA;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,7,0.7777777777777778,0,0,-1.3611026590810682,-1.4072897708711147,0.6745147300458623,0.9103551673765257,MAOB,12,0.75,FALSE
ENSG00000167074,TEF,9,COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,7,0.7777777777777778,0,0,-1.0540590825891634,-0.9340573223752314,0.8099851121737492,0.948754653805844,MAOB,12,0.75,FALSE
ENSG00000121310,ECHDC2,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC,7,0.7777777777777778,0,0,-0.9682976202812567,-0.8199345428689887,0.5627854932523959,0.8685307706698153,MAOB,12,0.75,FALSE
ENSG00000104324,CPQ,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,7,0.7777777777777778,1,0.1111111111111111,-0.6537832193180965,-0.6579402405497697,0.7604483512913801,1.043224123988037,MAOB,12,0.75,FALSE
ENSG00000166313,APBB1,9,COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,6,0.6666666666666666,0,0,-1.1327956759234594,-0.9796134757126952,0.6730488837457221,0.8547198989703971,MAOB,12,0.75,FALSE
ENSG00000010322,NISCH,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;STAD,6,0.6666666666666666,0,0,-0.6623997662247793,-0.5338654626328184,0.550472621144893,0.863094884940831,MAOB,12,0.75,FALSE
ENSG00000142188,TMEM50B,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,5,0.5555555555555556,0,0,-0.7335676259256662,-0.6290344014166598,0.7284045959800977,0.8472401143211744,MAOB,12,0.75,FALSE
ENSG00000198053,SIRPA,9,BRCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;STAD;THCA,5,0.5555555555555556,2,0.2222222222222222,-0.6415879957629745,-0.20263423615788734,0.8313454956006746,1.7326138887887848,MAOB,12,0.75,FALSE
ENSG00000163069,SGCB,9,BRCA;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,5,0.5555555555555556,1,0.1111111111111111,-0.6359218099876061,-0.4652680428552924,0.8043936763353596,0.9465726207236693,MAOB,12,0.75,FALSE
ENSG00000128928,IVD,9,BRCA;COAD;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,5,0.5555555555555556,1,0.1111111111111111,-0.6142861610748122,-0.35747437891818296,0.6752047849906168,0.9424315339333805,MAOB,12,0.75,FALSE
ENSG00000165943,MOAP1,9,COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,5,0.5555555555555556,0,0,-0.6017226957987837,-0.5952604729410089,0.47230826188067676,0.975251709175383,MAOB,12,0.75,FALSE
ENSG00000107104,KANK1,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;PRAD;STAD,4,0.4444444444444444,0,0,-0.5259126802239981,-0.5832341718043186,0.8990549591783589,1.308935352589763,MAOB,12,0.75,FALSE
ENSG00000182551,ADI1,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC,4,0.4444444444444444,0,0,-0.5058465764153061,-0.4959113710477475,0.8043246715459454,0.9137685904113868,MAOB,12,0.75,FALSE
ENSG00000172493,AFF1,9,BRCA;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,3,0.3333333333333333,0,0,-0.3691412849944758,-0.34588435446603666,0.6911261211659528,1.039552716630135,MAOB,12,0.75,FALSE
