tcga_code,gene,gene_id,n_pairs,logFC,AveExpr,t,p_value,q_value_project,B,mean_normal_logcpm,mean_tumor_logcpm,analysis_status,organ,mapping_valid_for_baseline_model,mapping_note,reserved,q_value_global,passes_statistical_screen,passes_effect_screen,robust_count_level_change,count_level_interpretation,identity_median_logFC,n_identity_genes,identity_status,residual_vs_identity,more_negative_than_identity
LIHC,MAOB,ENSG00000069535,50,-0.9141250816916641,7.937546741280644,-7.2201813517126405,2.0858220305738105e-9,1.7475457554916926e-8,10.69542576024029,8.356422604603969,7.518670877957316,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,6.406453379619561e-9,TRUE,TRUE,TRUE,loss,-2.462676530472175,200,estimable,1.5485514487805112,FALSE
LIHC,CYP3A4,ENSG00000160868,50,-7.284966075661003,8.317655554663189,-12.6398165121738,1.597550322869685e-17,1.1972110100450223e-15,29.538647915260416,11.296536765154665,5.338774344171709,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,2.2898221294465483e-16,TRUE,TRUE,TRUE,loss,-2.462676530472175,200,estimable,-4.822289545188827,TRUE
LIHC,CYP3A5,ENSG00000106258,50,-1.055955835712751,7.594662891823588,-5.705476196327849,5.510914977836955e-7,2.562109917494367e-6,5.123330072483062,8.08114751110693,7.1081782725402425,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,1.1848467202349453e-6,TRUE,TRUE,TRUE,loss,-2.462676530472175,200,estimable,1.4067206947594242,FALSE
LIHC,CYP3A7,ENSG00000160870,50,-1.8042319330231502,3.230421397282149,-4.430932158475286,4.82663328297896e-5,1.4216731685322374e-4,0.7310484676158673,4.452004181056193,2.008838613508105,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,7.686860413633159e-5,TRUE,TRUE,TRUE,loss,-2.462676530472175,200,estimable,0.658444597449025,FALSE
LIHC,CYP3A43,ENSG00000021461,50,-2.8537130033334575,1.1633943981779888,-8.783908010611661,7.170658928126736e-12,1.1609372992676793e-10,16.574851270378062,2.8622187235936436,-0.5354299272376661,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,2.8030757628131786e-11,TRUE,TRUE,TRUE,loss,-2.462676530472175,200,estimable,-0.3910364728612823,TRUE
LUAD,MAOB,ENSG00000069535,58,-1.5021946041796652,4.922728941960887,-10.27518832569133,6.383844730167618e-15,5.9366115014477e-14,23.163208156950642,5.714779962333995,4.1306779215877825,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,5.4901064679441514e-14,TRUE,TRUE,TRUE,loss,-1.5696154860653153,200,estimable,0.0674208818856501,FALSE
LUAD,CYP3A4,ENSG00000160868,58,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-1.5696154860653153,200,estimable,,FALSE
LUAD,CYP3A5,ENSG00000106258,58,-0.3332621167777662,3.1264518246238993,-1.6645377124918947,0.10114351961338863,0.1285966667590852,-6.2969670353825045,3.4044217808390047,2.8484818684087942,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,0.11445187745725556,FALSE,FALSE,FALSE,not_robust,-1.5696154860653153,200,estimable,1.2363533692875492,FALSE
LUAD,CYP3A7,ENSG00000160870,58,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-1.5696154860653153,200,estimable,,FALSE
LUAD,CYP3A43,ENSG00000021461,58,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-1.5696154860653153,200,estimable,,FALSE
