tcga_code,organ,mapping_valid_for_baseline_model,gtex_pattern,matched_gtex_tissues,gene_id,gene_symbol,baseline_tpm,baseline_log2_tpm1,organ_specificity_log2,max_tpm,cross_tissue_median_tpm,tau,breadth_0_1tpm,breadth_1tpm
LUSC,lung,TRUE,^Lung$,Lung,ENSG00000021461,CYP3A43,0.128062,0.17384636262537312,0.1414689754717538,4.28768,0.10676,0.9588837795202965,0.5555555555555556,0.05555555555555555
PRAD,prostate,TRUE,^Prostate$,Prostate,ENSG00000069535,MAOB,58.8878,5.904190230252803,0.10785147797031763,240.444,54.63885,0.7595819301901545,1,0.9444444444444444
PRAD,prostate,TRUE,^Prostate$,Prostate,ENSG00000160868,CYP3A4,0.139941,0.18895915666183338,-0.02351541358675457,335.297,0.143884,0.9964085738630708,0.6851851851851852,0.12962962962962962
PRAD,prostate,TRUE,^Prostate$,Prostate,ENSG00000106258,CYP3A5,42.5218,5.443666320532872,4.692641430605946,155.853,1.5481850000000001,0.9437232781882395,0.9814814814814815,0.5370370370370371
PRAD,prostate,TRUE,^Prostate$,Prostate,ENSG00000160870,CYP3A7,0.447048,0.5331127782714451,1.3486499251989332,24.5131,0.1148035,0.9920989699539168,0.5370370370370371,0.05555555555555555
PRAD,prostate,TRUE,^Prostate$,Prostate,ENSG00000021461,CYP3A43,0.655112,0.7269288462635529,1.8687335368568048,4.28768,0.10676,0.9588837795202965,0.5555555555555556,0.05555555555555555
STAD,stomach,TRUE,^Stomach$,Stomach,ENSG00000069535,MAOB,20.341,4.415555874669163,-1.4210993491669603,240.444,54.63885,0.7595819301901545,1,0.9444444444444444
STAD,stomach,TRUE,^Stomach$,Stomach,ENSG00000160868,CYP3A4,0.137481,0.18584244734675526,-0.038383020065137344,335.297,0.143884,0.9964085738630708,0.6851851851851852,0.12962962962962962
STAD,stomach,TRUE,^Stomach$,Stomach,ENSG00000106258,CYP3A5,45.2894,5.532609957525062,4.7834053259272435,155.853,1.5481850000000001,0.9437232781882395,0.9814814814814815,0.5370370370370371
STAD,stomach,TRUE,^Stomach$,Stomach,ENSG00000160870,CYP3A7,0.119553,0.16292282745558498,0.031551747034335824,24.5131,0.1148035,0.9920989699539168,0.5370370370370371,0.05555555555555555
STAD,stomach,TRUE,^Stomach$,Stomach,ENSG00000021461,CYP3A43,0.0996059,0.13698655284919473,-0.05080274255844738,4.28768,0.10676,0.9588837795202965,0.5555555555555556,0.05555555555555555
THCA,thyroid,TRUE,^Thyroid$,Thyroid,ENSG00000069535,MAOB,10.0494,3.465896125994902,-2.4311706832409326,240.444,54.63885,0.7595819301901545,1,0.9444444444444444
THCA,thyroid,TRUE,^Thyroid$,Thyroid,ENSG00000160868,CYP3A4,0.130997,0.17759510254536137,-0.07832099806814612,335.297,0.143884,0.9964085738630708,0.6851851851851852,0.12962962962962962
THCA,thyroid,TRUE,^Thyroid$,Thyroid,ENSG00000106258,CYP3A5,0.624359,0.6998705181646011,-1.1861013918332202,155.853,1.5481850000000001,0.9437232781882395,0.9814814814814815,0.5370370370370371
THCA,thyroid,TRUE,^Thyroid$,Thyroid,ENSG00000160870,CYP3A7,0.0889649,0.12295745321732725,-0.18489922024745173,24.5131,0.1148035,0.9920989699539168,0.5370370370370371,0.05555555555555555
THCA,thyroid,TRUE,^Thyroid$,Thyroid,ENSG00000021461,CYP3A43,0.0938411,0.12940317607187168,-0.09308261053622437,4.28768,0.10676,0.9588837795202965,0.5555555555555556,0.05555555555555555
